seed,ep,eps,reached,collided,min_clr,time_s
12,17,0.01,1,0,1.921,4.8
12,18,0.01,1,0,1.456,4.5
12,19,0.01,1,0,1.313,4.5
12,20,0.01,1,0,1.697,5.1
12,21,0.01,1,0,1.355,5.7
12,22,0.01,1,0,1.282,4.8
12,23,0.01,1,0,1.209,8.4
12,24,0.01,1,0,1.856,3.9
12,25,0.01,1,0,1.968,3.9
12,26,0.01,1,0,1.244,4.8
12,27,0.01,1,0,1.515,4.5
12,28,0.01,1,0,1.797,3.9
12,29,0.01,1,0,1.442,4.8
12,30,0.01,1,0,1.3,6.3
12,31,0.01,1,0,1.759,3.9
12,32,0.01,1,0,1.7,4.8
12,33,0.01,1,0,1.748,4.2
12,34,0.01,1,0,1.089,8.1
12,35,0.01,1,0,2.232,5.1
12,36,0.01,1,0,1.462,4.5
12,37,0.01,1,0,1.438,5.4
12,38,0.01,1,0,1.8,4.5
12,39,0.01,1,0,1.52,4.5
12,40,0.01,1,0,1.282,5.4
12,41,0.01,1,0,1.207,5.4
12,42,0.01,1,0,1.781,5.4
12,43,0.01,1,0,1.402,5.1
12,44,0.01,1,0,1.806,3.9
12,45,0.01,1,0,1.244,4.8
12,46,0.01,1,0,1.678,5.1
12,47,0.01,1,0,1.441,5.1
12,48,0.01,1,0,1.382,5.1
12,49,0.01,1,0,1.543,5.1
13,0,0.01,1,0,1.37,5.4
13,1,0.01,1,0,1.912,3.9
13,2,0.01,1,0,1.397,5.4
13,3,0.01,1,0,1.238,5.1
13,4,0.01,1,0,1.88,3.9
13,5,0.01,1,0,1.565,5.4
13,6,0.01,1,0,1.485,4.2
13,7,0.01,1,0,2.079,4.5
13,8,0.01,1,0,1.053,5.1
13,9,0.01,1,0,1.637,4.8
13,10,0.01,1,0,1.613,3.9
13,11,0.01,1,0,2.471,4.2
13,12,0.01,1,0,1.687,4.5
13,13,0.01,1,0,1.985,5.1
13,14,0.01,1,0,1.221,3.9
13,15,0.01,1,0,1.393,4.5
13,16,0.01,1,0,1.539,4.5
13,17,0.01,1,0,1.47,4.8
13,18,0.01,1,0,2.181,5.1
13,19,0.01,1,0,1.751,3.9
13,20,0.01,1,0,1.534,6.3
13,21,0.01,1,0,1.669,3.9
13,22,0.01,1,0,1.998,3.9
13,23,0.01,1,0,0.961,5.4
13,24,0.01,1,0,1.672,3.9
13,25,0.01,1,0,1.478,4.8
13,26,0.01,1,0,1.542,3.9
13,27,0.01,1,0,2.189,4.8
13,28,0.01,1,0,1.458,4.8
13,29,0.01,1,0,1.801,5.1
13,30,0.01,1,0,1.595,5.4
13,31,0.01,1,0,2.222,3.9
13,32,0.01,1,0,1.07,5.1
13,33,0.01,1,0,1.797,4.8
13,34,0.01,1,0,1.54,4.2
13,35,0.01,1,0,1.165,4.5
13,36,0.01,1,0,1.42,3.9
13,37,0.01,1,0,1.369,3.9
13,38,0.01,1,0,1.482,5.4
13,39,0.01,1,0,1.927,4.8
13,40,0.01,1,0,1.362,5.4
13,41,0.01,1,0,1.39,6.6
13,42,0.01,1,0,1.138,4.8
13,43,0.01,1,0,1.585,5.4
13,44,0.01,1,0,1.384,3.9
