seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
94,ours,True,False,False,False,False,False,0.378,1.31,7.98,2.24,0.38,0,10.5
94,ego,True,False,False,False,False,False,0.252,0.25,7.98,0.3,0.55,0,9.7
95,ours,True,False,False,False,False,False,0.253,1.13,4.26,0.93,0.25,0,9.1
95,ego,True,False,False,False,False,False,0.395,1.14,9.94,4.94,0.4,0,9.4
96,ours,True,False,False,False,False,False,0.265,0.45,27.02,3.8,0.27,183,11.5
96,ego,True,False,False,False,False,False,0.283,0.43,,0.84,0.28,0,8.7
97,ours,True,False,False,False,False,False,0.441,1.1,6.44,1.35,0.44,0,8.4
97,ego,True,False,False,False,False,False,0.193,0.19,11.96,1.07,0.48,0,8.3
98,ours,True,False,False,False,False,False,1.057,1.32,,1.72,1.06,0,9.7
98,ego,True,False,False,False,False,False,0.367,0.83,,1.02,0.37,0,9.6
99,ours,True,False,False,False,False,False,0.270,1.82,2.14,2.04,0.27,0,10.0
99,ego,True,False,False,False,False,False,0.358,0.57,1.17,0.36,0.38,0,9.0
