seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
81,ours,True,False,False,False,False,False,0.391,1.630,,7.850,0.390,0,15.8
82,ego,True,False,False,False,False,False,0.342,2.380,0.340,1.730,0.390,0,15.2
82,ours,True,False,False,False,False,False,0.342,2.380,0.340,2.300,0.880,0,15.3
83,ego,False,True,False,False,False,True,-0.412,0.440,,7.200,-0.410,0,infs
83,ours,True,False,False,False,False,False,0.455,2.240,,1.740,0.450,0,14.6
84,ego,True,False,False,False,False,False,1.152,1.150,25.830,1.620,2.390,0,15.7
84,ours,True,False,False,False,False,False,1.489,1.620,25.790,1.490,2.910,0,15.7
85,ego,True,False,False,False,False,False,0.222,0.600,13.000,2.590,0.220,0,14.8
85,ours,True,False,False,False,False,False,0.598,0.600,12.150,5.060,0.630,0,14.9
86,ego,True,False,False,False,False,False,0.147,0.790,10.710,2.470,0.150,0,15.2
86,ours,False,True,False,False,False,True,-0.059,2.020,5.440,3.880,-0.060,0,infs
87,ego,True,False,False,False,False,False,1.224,1.220,,1.460,1.820,0,13.5
87,ours,True,False,False,False,False,False,1.572,1.570,,2.610,1.820,0,13.6
88,ego,True,False,False,False,False,False,0.853,0.850,,1.270,1.650,0,14.9
88,ours,True,False,False,False,False,False,0.788,1.700,,2.380,0.790,0,15.1
89,ego,True,False,False,False,False,False,0.237,0.240,,3.390,3.800,0,14.3
89,ours,True,False,False,False,False,False,1.127,1.130,,3.390,3.800,0,14.3
90,ego,True,False,False,False,False,False,0.513,1.150,,4.440,0.510,0,14.5
90,ours,True,False,False,False,False,False,0.564,1.260,,3.900,0.560,0,14.4
91,ego,True,False,False,False,False,False,0.068,3.240,7.690,1.920,0.070,129,15.0
91,ours,True,False,False,False,False,False,0.662,3.050,7.730,2.060,0.660,0,14.9
92,ego,True,False,False,False,False,False,0.635,0.630,8.460,1.580,3.160,0,11.3
92,ours,True,False,False,False,False,False,1.195,1.200,11.360,2.020,2.620,0,12.6
93,ego,False,True,False,True,False,False,-0.230,0.440,-0.230,1.940,0.150,0,infs
93,ours,True,False,False,False,False,False,0.998,1.000,1.010,4.490,1.260,1,16.7
94,ego,True,False,False,False,False,False,0.768,1.570,4.040,3.050,0.770,0,15.5
94,ours,True,False,False,False,False,False,0.768,1.820,4.040,3.050,0.770,0,15.6
95,ego,True,False,False,False,False,False,0.866,2.320,9.240,2.850,0.870,0,14.3
95,ours,True,False,False,False,False,False,0.866,2.320,9.240,2.850,0.870,0,14.3
96,ego,True,False,False,False,False,False,0.441,0.440,,5.090,0.510,0,13.5
96,ours,False,True,False,False,False,True,-0.455,1.260,,5.190,-0.450,0,infs
97,ego,True,False,False,False,False,False,0.077,0.290,14.340,4.240,0.080,0,12.9
97,ours,True,False,False,False,False,False,0.535,1.060,15.060,5.440,0.530,215,13.8
98,ego,True,False,False,False,False,False,0.774,0.930,,0.770,1.330,0,15.4
98,ours,True,False,False,False,False,False,0.983,1.490,,1.650,0.980,0,15.4
99,ego,True,False,False,False,False,False,0.285,1.480,2.400,4.460,0.280,43,14.1
99,ours,True,False,False,False,False,False,0.494,1.680,2.400,4.510,0.490,0,14.0
